language,decision,decision_panlex
ssg,ambiguity,match
ssw,one-to-one,match
ssx,polysemy,overlap
stn,one-to-one,match
stp,polysemy,overlap
sua,one-to-one,match
sue,one-to-one,no overlap
suk,one-to-one,match
sun,polysemy,match
sur,polysemy,match
sus,polysemy,match
swe,one-to-one,overlap
swg,one-to-one,no overlap
swh,one-to-one,overlap
swk,one-to-one,no translations
swp,polysemy,no overlap
sxb,one-to-one,match
sxn,one-to-one,match
syc,one-to-one,no overlap
szb,polysemy,match
tab,one-to-one,match
tac,polysemy,no translations
taj,one-to-one,no overlap
tam,one-to-one,match
taq,one-to-one,no overlap
tar,polysemy,overlap
tat,one-to-one,match
tav,polysemy,no overlap
taw,ambiguity,no translations
tbc,one-to-one,overlap
tbg,polysemy,no overlap
tbl,one-to-one,match
tbo,polysemy,no overlap
tby,polysemy,no overlap
tbz,failure,no overlap
tca,one-to-one,no overlap
tcc,one-to-one,no overlap
tcs,polysemy,no overlap
tcz,one-to-one,no overlap
tdt,one-to-one,match
tee,polysemy,no overlap
tel,polysemy,match
tem,one-to-one,match
teo,one-to-one,no overlap
ter,polysemy,no overlap
tfr,polysemy,no overlap
tgk,one-to-one,overlap
tgl,one-to-one,overlap
tgp,one-to-one,no overlap
tha,polysemy,match
thk,one-to-one,no overlap
tih,polysemy,match
tik,polysemy,no translations
tim,polysemy,match
tir,one-to-one,match
tku,one-to-one,match
tlb,polysemy,no overlap
tlf,polysemy,overlap
tlh,one-to-one,no overlap
tna,polysemy,overlap
tnn,one-to-one,no overlap
tob,one-to-one,no overlap
toc,one-to-one,no overlap
toh,polysemy,no translations
toj,polysemy,overlap
too,one-to-one,match
top,polysemy,match
tos,polysemy,overlap
tpa,one-to-one,no translations
tpi,polysemy,match
tpm,failure,overlap
tpp,one-to-one,no overlap
tpt,polysemy,no overlap
tpz,one-to-one,no translations
tqb,polysemy,match
trc,polysemy,match
trn,polysemy,match
trq,polysemy,no overlap
tsn,one-to-one,match
tso,one-to-one,no overlap
tsz,one-to-one,overlap
ttc,one-to-one,match
tte,ambiguity,overlap
ttq,one-to-one,no translations
tuc,polysemy,no overlap
tue,polysemy,no overlap
tuf,one-to-one,no overlap
tui,one-to-one,match
tuk,one-to-one,match
tum,one-to-one,no overlap
tuo,polysemy,no overlap
tur,one-to-one,overlap
twi,one-to-one,no overlap
twu,polysemy,match
txu,polysemy,no overlap
tyv,polysemy,match
tzh,polysemy,no overlap
tzj,polysemy,no overlap
tzo,one-to-one,match
ubr,polysemy,match
ubu,polysemy,overlap
udu,polysemy,match
uig,one-to-one,overlap
ukr,one-to-one,match
upv,polysemy,no overlap
ura,one-to-one,no translations
urb,polysemy,no overlap
urd,one-to-one,match
urk,polysemy,no overlap
usa,one-to-one,no translations
usp,one-to-one,overlap
uvl,one-to-one,no overlap
uzb,one-to-one,no translations
vag,one-to-one,match
ven,polysemy,match
vie,polysemy,match
viv,polysemy,match
vmy,polysemy,no overlap
vun,one-to-one,match
vut,one-to-one,no overlap
waj,ambiguity,overlap
wal,polysemy,no translations
wap,one-to-one,match
war,one-to-one,match
way,polysemy,no overlap
wbm,polysemy,no translations
wbp,polysemy,overlap
wca,one-to-one,no overlap
wed,one-to-one,match
wer,one-to-one,no overlap
whk,polysemy,no translations
wiu,polysemy,match
wmw,one-to-one,no overlap
wnc,polysemy,match
wnu,polysemy,match
wob,one-to-one,match
wol,one-to-one,match
wos,polysemy,no translations
wrs,polysemy,no overlap
wsk,polysemy,match
wuv,one-to-one,match
wwa,polysemy,no overlap
xal,one-to-one,match
xav,one-to-one,no overlap
xbi,polysemy,match
xbr,polysemy,match
xed,one-to-one,no overlap
xho,one-to-one,overlap
xla,polysemy,match
xon,one-to-one,match
xrb,one-to-one,no translations
xsi,polysemy,no overlap
xsm,one-to-one,match
xsu,one-to-one,no overlap
xtd,one-to-one,no translations
xtm,polysemy,no translations
xuo,one-to-one,match
yaa,one-to-one,overlap
yad,polysemy,overlap
yal,one-to-one,match
yam,one-to-one,no overlap
yan,polysemy,overlap
yaq,polysemy,match
yby,ambiguity,no overlap
ycn,polysemy,no overlap
yle,polysemy,overlap
yli,one-to-one,overlap
yml,ambiguity,match
yon,polysemy,match
yor,polysemy,overlap
yrb,polysemy,match
yre,polysemy,match
yrk,one-to-one,match
yss,polysemy,match
yua,polysemy,match
yuj,polysemy,no overlap
yut,polysemy,match
yuw,polysemy,overlap
yuz,polysemy,no overlap
yva,one-to-one,no translations
zaa,polysemy,no overlap
zab,polysemy,no translations
zac,one-to-one,no overlap
zad,polysemy,no overlap
zae,one-to-one,no overlap
zai,polysemy,match
zam,polysemy,no translations
zao,one-to-one,no translations
zar,polysemy,no translations
zas,one-to-one,no translations
zat,polysemy,no translations
zav,polysemy,no overlap
zaw,one-to-one,no overlap
zca,polysemy,no translations
zho,polysemy,overlap
zia,one-to-one,no overlap
ziw,polysemy,match
zom,one-to-one,no translations
zos,polysemy,match
zpc,polysemy,no overlap
zpi,one-to-one,no overlap
zpl,polysemy,no overlap
zpm,one-to-one,no overlap
zpo,one-to-one,no overlap
zpq,polysemy,no overlap
zpt,one-to-one,no translations
zpu,polysemy,no overlap
zpv,polysemy,no overlap
zpz,polysemy,no overlap
zsm,polysemy,match
zsr,polysemy,no translations
ztq,polysemy,no overlap
zty,polysemy,no translations
zul,one-to-one,match
zyp,polysemy,no translations
