language,number_occurrences,translations_freq
kaq,18,"{'$hihsab': 13, 'hishminb': 2, 'ehiyahpa': 2}"
kat,18,{'$ფრინველ': 18}
kaz,18,{'$құст': 18}
kbc,18,{'aaǥaxodi': 18}
kbd,4,{'$къуалэб': 4}
kbh,18,{'hlofts̈ë': 17}
kbm,18,{'$mank$': 16}
kbp,18,{'$sumasɩ$': 18}
kbq,46,"{'$nma': 34, '$namamo': 9}"
kbr,18,"{'$kafeen': 12, '$gaceena': 3, 'udda$baa': 2}"
kck,30,{'$nyuni$': 28}
kdc,18,{'$ndege$': 16}
kde,18,{'vyuni$': 17}
kdh,4,{'$siḿsi$': 4}
kdi,18,{'$winy$': 18}
kdj,18,{'$ŋikyeny': 16}
kdl,18,{'$nnu$': 16}
kek,135,"{""eque'rup"": 67, ""xic'an"": 16, '$li$tzen': 11, ""$li$so's"": 16, 'rupupic$': 6}"
ken,18,{'$kɛnɛn$': 18}
kew,27,"{'$yaanu': 13, 'aa$pamua': 2, 'ra$paaka': 2, 'pu$poga$': 2, '$yaa$yap': 2}"
kez,18,{'$bunɔɔn$': 18}
kff,18,{'$పిట': 17}
kgf,30,{'$nei$': 29}
kgk,18,{'$gwyra$': 17}
kgp,18,{'ẽsĩ$': 18}
khk,18,{'$shuvuud': 18}
khm,18,{'សត្វស្លា': 16}
khs,18,"{'$aiw': 5, 'ka$isu$k': 3, 'ele$kali': 2, '$kuya': 2, 'oyetikey': 2}"
khy,18,{'$nɔli$': 18}
khz,18,{'$manu': 18}
kia,135,{'$njoole$': 117}
kik,18,{'$nyoni$': 18}
kin,135,"{'nyoni$': 59, 'biguruka': 52, 'ibisiga$': 16}"
kir,135,"{'$канатту': 85, '$чымчык': 15, '$куш': 32}"
kix,18,"{'aio$nous': 9, '$waio': 8}"
kjb,135,"{""$tz'iqui"": 95, '$no$osto': 20}"
kje,18,"{'$manu$li': 12, 'anu$merw': 6}"
kjh,18,{'хуст': 18}
kjs,18,"{'$yaanu': 11, 'ro$e': 2, 'aa$yapan': 2}"
kkc,13,{'$só': 13}
kki,18,{'dege$': 18}
kkj,18,{'$äenón$': 18}
kkl,28,"{'oman$yab': 19, 'ang$ying': 4, '$winang': 4}"
klt,2,{'$iráp$pá': 2}
klv,18,{'nǝman$': 18}
kma,18,{'$nembi': 18}
kmg,9,{'$wipe': 9}
kmh,18,"{'$yakir$g': 12, 'in$yakir': 2, '$yakir$': 4}"
kmk,18,"{'$sissiwi': 14, '$tumaud$': 4}"
kmm,135,"{'$va$': 64, '$vahe': 51}"
kmo,18,"{'$apo$ye': 11, '$pak$taw': 2}"
kmr,18,{'$teyr': 18}
kms,18,"{'di$wapi$': 13, 'i$wuye$u': 2}"
kmu,18,"{'$namayag': 12, 'epu$yaga': 2, 'a$kafa$a': 2}"
kne,18,"{'$titit': 15, '$mankodk': 3}"
knf,42,{'$ŋkaŧ$': 39}
kng,18,{'nuni$': 16}
knj,18,"{""$no'$tz"": 13, ""$ec'$jen"": 3}"
knk,18,{'$kona': 17}
kno,18,"{'konde$n$': 11, '$konde$': 6}"
knv,18,{'$holahol': 18}
kog,18,{'$nubá': 17}
kor,135,"{'$날짐승': 50, '$새들': 28, '$새와': 10, '$새': 38}"
kos,40,{'$won$': 39}
kpf,18,"{'$nii$z': 9, '$sot$nii': 3, 'n$nii$': 2}"
kpg,135,"{'manu$mam': 91, 'dau$waeh': 7, 'maangi$': 14, 'i$manu$': 13}"
kpj,18,{'$nawii': 17}
kpr,18,{'$rika': 18}
kpv,18,{'$лэбач': 18}
kpw,18,"{'$yaur$ga': 13, 'wal$yaur': 2}"
kpx,18,"{'ge$ugu': 10, '$ugu$': 6}"
kpz,18,{'$toritek': 18}
kqc,12,{'$erena$': 12}
kqe,18,{'$langgam': 18}
kqf,2,{'$mwanua$': 2}
kqo,18,{'$neme': 18}
kqp,18,"{'ciré$ka$': 6, 'ɲa$ôbi$w': 3, 'heŋɲê$na': 2, '$ciré$kê': 2, '$ciré$me': 2}"
kqs,18,"{'$yowva$': 14, '$yovaa$': 4}"
kqw,7,{'$kum$pik': 7}
kqy,18,"{'$ከፍት': 10, '$ገዎነ$ሀን': 4, '$ከፍቱ': 3}"
krc,18,{'ъанатлыл': 17}
kri,18,{'$bɔd$': 18}
krj,18,{'$pispis$': 18}
ksc,18,{'sissiwit': 16}
ksd,18,{'$beo$': 17}
ksf,18,{'$tììli': 18}
ksp,15,{'$eelje$': 15}
ksr,42,{'$kooŋ': 42}
kss,18,{'$yōūwa̍$': 16}
ksw,134,"{'ထိၣ်ဧိၤလ': 58, 'ထိၣ်ဖိ': 28, 'ထိၣ်လၢ': 13, '့ၢ်ထိၣ်': 6, 'ဒ်ထိၣ်': 7, 'ထိၣ်အ': 5}"
ktb,18,"{'$ጪአ': 15, '$ጪኣ': 3}"
ktj,18,{'$nʋblɩ$': 18}
ktm,26,{'$nenka-a': 25}
kto,18,{'$kobengi': 17}
ktu,18,{'$bandeke': 18}
kua,135,"{'eedila$': 99, 'odila$': 18}"
kub,18,"{'$ínung$': 15, '$ánung$': 3}"
kud,18,{'$lowolow': 17}
kue,18,"{'a$kua$': 8, 'e$kua$': 9}"
kum,46,{'$къуш': 44}
kup,18,"{'$idehol': 14, 'id$pori$': 2}"
kus,18,{'$niis$': 18}
kvj,18,"{'i$kezlə$': 8, ""$yɛ$'yɛ$"": 7, '$katsawe': 2}"
kvn,18,"{'$chikwi': 13, 'mmal-kuk': 3}"
kwd,18,{'a$langas': 18}
kwf,18,"{""$no'o$k"": 17}"
kwi,18,"{'$chitchu': 14, 'm$chiyu$': 2}"
kwj,18,{'$apwe$': 18}
kxc,18,{'ኸምፕረ': 18}
kxm,18,"{'$เฮฺิร$': 14, 'ัด$โม$เท': 3}"
kxw,18,"{'$sio$ked': 8, '$siobo͡u': 3, 'timo͡u$d': 3, '$sio$s': 2}"
kyc,18,"{'$yaka$du': 8, 'pe$yaka$': 3, '$yaka$pe': 2, 'a$yaka$k': 2, 'pala$pal': 2}"
kyf,18,"{""$'zia"": 14, 'zia$weee': 2}"
kyg,26,"{'$nama$an': 15, ""lo'yaveg"": 4, '$namamog': 3, 'namagi$a': 2}"
kyq,18,{'$yeelge': 18}
kyu,18,"{'$ထၳၤဖၳ': 11, '$ထၳၤ$': 6}"
kyz,18,"{""$wyra'i"": 11, ""wewe$ma'"": 3, 'waawa$et': 2}"
kze,18,"{'$numa': 14, 'kwaamba$': 2}"
kzf,14,"{'$tonji-t': 8, '$tonji$n': 3, 'tonji$': 3}"
lac,18,"{""$ch'ich"": 17}"
lai,18,{'yuni$': 18}
laj,18,"{'$a$twarr': 8, '$winyi$': 5, '$koti$mo': 2}"
lam,18,{'fyuni$': 18}
lao,18,{'ນົກ$': 18}
las,18,{'asimasi$': 18}
lat,135,"{'$volucr': 44, '$volatil': 30, '$avi': 21, '$passer': 14, '$aves': 11}"
lav,18,{'$putn': 18}
lbb,2,{'$a$manil': 2}
lbj,17,"{'$བྱ༌': 13, '༌$བྱི༌པ༌': 4}"
lbk,42,"{'ntat-aya': 23, '$ay-ayam': 16}"
lcm,42,{'$mani$': 41}
ldi,18,"{'$nuni$': 13, '$banuni$': 4}"
lee,18,{'$kúm': 18}
lef,18,{'$baasɛ$': 18}
leh,135,{'yuni$': 120}
lem,18,{'$tunonyí': 18}
leu,18,{'$maanu$': 16}
lew,18,"{'tonji$n': 12, 'tonji$': 6}"
lex,42,"{""$onu-ma'"": 31, '$hamormi': 7}"
lgm,18,{'$tuzoni$': 18}
lhi,18,{'$ngaz$': 18}
lhm,18,"{'namki$tɕ': 10, 'ki$tɕha$': 3, '$tɕhatɕu': 5}"
lhu,18,{'$ngaˆ$': 18}
lia,18,{'$bɛtiŋ$': 18}
lid,42,{'$sirih$': 38}
lif,18,"{'$पुसा': 10, '$पुहाॽ$': 4, '$काक्$कि': 2}"
lin,135,"{'ndɛkɛ$': 83, 'oyo$epum': 49}"
lip,18,{'$baklɔbɛ': 18}
lit,135,{'$paukš': 126}
ljp,18,{'$burung': 18}
lmk,18,{'$puwa': 18}
lmp,18,{'$bsiñ$': 17}
lob,18,"{""$'lominə"": 17}"
lol,18,{'fulu$': 18}
lom,18,"{'$wɛ̃nii': 14, '$wɛ̃nia$': 3}"
loq,10,"{'$manyɔsi': 8, '$nana$': 2}"
loz,135,{'nyunywan': 118}
lsi,18,"{""$ngho'$"": 16}"
lsm,18,{'mayoni$': 18}
lug,18,{'nyonyi$': 18}
luo,30,{'$winy': 28}
lus,17,{'$sava': 17}
lwo,18,{'$winy': 18}
lww,18,"{'$manu$la': 12, '$a$manu$': 2}"
lzh,18,"{'鳥': 15, '禽': 3}"
maa,18,"{'jñà$ni̱s': 9, 'ì$cho̱$r': 5, '̱$ni̱se$': 2}"
mad,18,"{""mano'$"": 18}"
maf,18,{'iakih': 18}
mah,135,{'$bao$': 132}
mai,18,{'$चिड़ै': 17}
maj,18,{'$ni̱se': 18}
mak,18,{'jangang-': 18}
mal,18,"{'pakshi': 8, 'tile$par': 7, 'parravak': 2}"
mam,135,"{""$chyu'j$"": 95, 'lipan$tw': 18, ""$c'utz$"": 13}"
maq,18,{'$nisë$': 16}
mar,18,"{'ाशातील$प': 7, '$पक्ष्या': 5, '$पक्षी$': 5}"
mau,18,"{'i⁴$se³$x': 12, '$ni⁴$se³': 6}"
mav,18,"{'$weita': 15, '$uruwu$': 2}"
maw,18,{'$niinsi$': 17}
maz,18,"{""$s'ü"": 14, '$ndoparü': 2}"
mbb,18,{'$tagbis$': 17}
mbc,18,{'$toron': 18}
mbd,18,{'anuk-man': 18}
mbf,18,{'$burong-': 16}
mbh,18,"{'$menre$': 13, 'a$men$': 3}"
mbi,18,{'e$pepenu': 16}
mbj,17,"{""$taw'ëëd"": 17}"
mbl,18,"{'$putuxnã': 15, ""$yãy'ĩgã"": 2}"
mbs,42,{'$manok$': 42}
mbt,18,{'e$manuk-': 17}
mca,18,{'$junatai': 18}
mcb,18,"{'$arageta': 8, 'ro$tsime': 6, 'ogari$et': 2}"
mcd,18,{'$puiya': 17}
mcf,18,"{'$podocho': 7, '$uicchun': 8, 'nami$che': 2}"
mck,135,"{'$tuzila$': 92, '$kazila$': 30}"
mcn,135,"{'$laya': 97, '$layt': 12, '$lay$ma$': 10}"
mco,18,{'$joon$': 17}
mcp,18,{'nunú$': 17}
mcq,18,{'$uka': 18}
mcu,18,{'$non$': 17}
mda,18,"{'$nywɛ̂nc': 15, 'pan$kūkw': 2}"
mdy,18,"{'$ካፖ': 7, '$ካፒያ': 3, '$ኬዳዛ$ካፓ$': 2, '$ዒዞኮ$ካኣፖ': 2}"
med,18,"{'$kᵾi$mbᵾ': 10, '$kᵾi$n': 4, '$kng$owa': 2}"
mee,18,"{'ke$lolo$': 10, '$manume$': 7}"
mej,18,"{'a$mem$': 13, 'gij$mohk': 2, '$mem$ni$': 2}"
mek,18,{'$inei': 16}
men,18,{'$ŋɔning': 17}
meq,18,{'$ɗiyeŋ$': 18}
meu,135,{'$manu': 127}
mfe,18,{'$zwazo$': 18}
mfh,18,"{'$azlaɗiy': 9, 'k$mahoya': 4, 'azlakola': 3}"
mfi,18,{'$ƴiye': 18}
mfk,18,"{'$ɗiyeŋ$': 14, '$sek$faɗ': 2}"
mfq,18,"{'$nuɑni$': 14, '$lɑ$bonk': 2}"
mfy,18,"{'$huikich': 13, 'náikim$g': 3}"
mfz,18,{'$ḍiirg': 16}
mgc,9,"{'$ali$': 5, '$aliye$': 4}"
mgh,27,{'nuni$': 25}
mhi,18,{'$arinzi$': 18}
mhl,18,{'$nepa': 18}
mhr,18,{'$кайык': 18}
mhx,18,"{""$ngho'$j"": 16}"
mhy,18,{'$wurung$': 18}
mib,18,"{'$saa$': 12, 'quɨtɨ$cá': 3, 'tɨ$ndáva': 2}"
mic,18,"{'$sisip': 15, ""jipji'jg"": 3}"
mie,18,"{'$saā$': 12, 'i$ndáva$': 3}"
mif,18,{'$ɗiyaŋ$h': 18}
mig,18,{'saa̱$': 17}
mih,18,{'$zaa$': 18}
mil,18,"{'uɨtɨ$ndà': 12, 'cá‑güedɨ': 5}"
min,18,"{'$unggeh$': 8, 'buruang-': 5, 'uruang$n': 2, '$buruang': 3}"
mio,18,{'$ri$saa$': 17}
miq,135,{'awira$': 118}
mir,18,"{'$muuxy': 15, 'a$luudha': 2}"
mit,18,{'$laa$': 18}
miy,18,"{'$tiꞌ$taꞌ': 10, '$riꞌ$a̱$': 3, 'taꞌan$xa': 2, 'deꞌi̱$ne': 2}"
miz,18,"{'$láa$': 12, 'tɨ$ntaík': 3, '$láā$': 2}"
mjc,18,{'$saa$': 18}
mjw,18,"{'vo$atum': 12, 'lim$api$': 3, 'ebiji$a': 2}"
mkd,18,{'$птици': 18}
mkl,18,"{'$yɛi$ŋɑ$': 15, '$yɛi$fei': 2}"
mkn,42,{'$burung': 40}
mks,18,{'$laa$': 18}
mlh,18,{'$webo': 18}
mlp,18,{'$ah$': 18}
mlt,135,"{'għasafar': 37, '$li$jtir': 32, 'għasfur$': 23, 'tjur$': 17, 'qa$li$tt': 13}"
mmn,18,{'$manokma': 16}
mmo,18,{'$manak': 18}
mmx,30,{'pixa$': 26}
mna,58,"{'$man$': 47, 'roŋ$kala': 4}"
mnb,18,"{""ka'uhi$l"": 16}"
mnf,18,{'$banɨ̧̀$': 17}
mnh,18,"{'$menre$': 13, 'a$men$': 3}"
mnk,18,{'$kunoolu': 18}
mnx,17,{'$ba$': 16}
moc,18,"{""a$qo'o"": 10, '$ỹo$': 6}"
mog,18,{'$ḷagapan': 18}
mop,18,"{""$a$ch'ii"": 16}"
mor,18,{'ndǝfia$': 16}
mos,18,{'$luiil': 16}
mox,18,{'$manu': 18}
mpg,18,{'aluwei': 18}
mph,2,{'a$karlur': 2}
mpm,18,"{'ka$tɨ$': 8, 'va$nuu$t': 3, '$sava$tr': 3, 'ma$un$ka': 2}"
mpp,10,"{'a$nango$': 7, 'e$nango$': 3}"
mps,135,{'$ba$': 129}
mpt,18,"{'$wani$': 10, 'la$wana$': 4, 'eka$wan$': 3}"
mpx,44,"{'$youyou$': 34, 'e$hi$ani': 2, 'anawa$bi': 2}"
mqb,18,{'$məvuhom': 18}
mqj,18,{'$dassi$': 18}
mqy,18,{'$kaka$lé': 17}
mrg,14,{'$pcttang': 13}
mri,135,{'$manu$': 130}
mrw,18,{'$papanok': 18}
msa,18,"{'a$boeroe': 12, 'egala$on': 3, '$boeroen': 3}"
msb,18,{'$sapat$': 18}
msc,25,"{'$kɔnɔilu': 20, '$kɔnɔ$s': 4}"
mse,18,"{'$layagi': 15, '$laygina': 2}"
msk,18,{'$langgam': 18}
msm,18,{'$manuk-m': 17}
msy,18,"{'kuarazib': 15, 'ɨ$kuaraz': 2}"
mta,18,{'$manuk$': 18}
mtg,18,{'$maka$': 18}
mti,18,{'$nenip': 18}
mtj,18,{'$mem$': 18}
mto,18,{'je̱$je̱y': 18}
mtp,18,"{""$'ajween"": 18}"
mua,18,{'$juu$': 18}
muh,18,"{'$wü$lu$': 14, 'ro$füh$l': 2}"
mur,18,{'$kibaali': 16}
mux,18,"{'$kerama': 13, 'ye$kene$': 4}"
muy,18,{'$eɗiɗiŋ$': 18}
mva,18,{'$mang$': 17}
mvn,18,"{'yaveha$': 11, '$hiu$': 4}"
mvp,18,{'$manuk-m': 18}
mwc,4,{'$manu': 4}
mwf,1,{'ampunkat': 1}
mwm,135,{'$yel': 118}
mwp,11,"{'$uruyl$': 8, 'mayl$uru': 2}"
mwq,18,"{'$kha$gui': 8, 'u$kha$': 3, 'bu$': 3, 'kuhzawng': 2}"
mwv,18,{'umá$': 18}
mww,18,{'$noog$': 18}
mxb,18,{'$laa$': 16}
mxp,18,"{'joon': 13, 'kwɨdejtt': 2}"
mxq,18,"{'$joon$': 13, 'kaagʉdij': 3}"
mxt,18,{'$saa$': 18}
mya,18,{'ငှက်': 18}
myb,18,{'$yelg$': 18}
myk,18,{'$shazhɛɛ': 17}
myu,18,"{'$wasũ': 15, '̃cũg̃ayũ': 3}"
myv,18,{'$нармун': 18}
myw,18,"{'iyoyows$': 13, '$man$si': 2, 'eis$ikam': 2}"
myx,18,{'inywi$': 18}
myy,18,"{'$wʉtirã': 10, '$minia$': 7}"
mza,18,{'$saa$': 16}
mzh,135,{'$afwench': 124}
mzk,18,{'$non': 18}
mzl,18,{'$joon$': 17}
mzm,18,{'$jaaning': 18}
mzw,18,{'$jumbi': 18}
mzz,2,{'$manuqa$': 2}
nab,18,{'$a̱i³k': 18}
naf,18,{'$age': 17}
nak,18,"{'la$malum': 14, '$e$kaoka': 2}"
nan,18,"{'$chiáu': 14, 'e-chiáu$': 4}"
naq,18,{'$anin': 17}
nas,26,"{'$barenna': 18, '$bareng': 4, '$barenan': 3}"
nav,135,"{'$tsídii$': 91, ""nidaat'a"": 32}"
nbc,18,"{'$aus': 13, '$au$': 5}"
nbe,18,{'$awhalan': 17}
nbl,18,{'nyoni$': 17}
nbq,12,{'$swa': 11}
nca,18,{'$nú': 18}
nch,18,{'$totome$': 18}
ncj,18,{'$totomen': 17}
ncl,18,{'$tutomes': 17}
nct,18,"{'$awa$': 15, '$awana$': 2}"
ncu,18,{'bo̱gyii': 18}
ndc,18,"{'eshiri$': 15, '$shiri$d': 3}"
nde,18,{'nyoni$': 17}
ndi,18,{'$núú$': 18}
ndj,18,{'$vambong': 17}
ndo,18,{'oondhila': 18}
ndp,18,{'$kariy': 15}
nds,30,"{'$väajel$': 24, '$voagel': 5}"
ndz,18,{'$nuù$': 17}
neb,18,{'$maabò': 16}
nep,18,"{'$चराचुरु': 11, 'पक्षी': 6}"
nfa,18,{'$manu-bh': 18}
nfr,18,{'$hanyiɛl': 18}
ngc,18,{'mbulu$': 18}
ngp,18,{'adege$': 17}
ngu,18,{'$totomej': 18}
nhd,18,"{'$guyra$': 15, '$umi$yry': 2}"
nhe,18,{'$totome$': 18}
nhg,18,"{'$tutume$': 14, 'me$tli$p': 3}"
nhi,18,"{'$pájaros': 11, '$ihui': 5}"
nho,18,"{'$manu$le': 7, 'a$llee$a': 4, '$ohana$l': 2, 'au$manu$': 2, 'e$lellee': 2}"
nhr,18,{'$tsa̱rá': 18}
nhu,18,{'$mvunyii': 18}
nhw,18,{'$totome$': 18}
nhx,18,"{'$to̱to̱m': 15, '$yej$moe': 3}"
nhy,18,{'$totomej': 16}
nia,18,"{'$wofo$': 13, '$fofo$': 5}"
nif,10,"{'$monɨktɨ': 6, '$monɨk$e': 2}"
nii,18,"{'$kei$o': 8, 'nga$kei$': 3, '$ni$kei$': 3, '$ap$to': 2}"
nij,18,{'$burung$': 18}
nim,18,{'noni$': 18}
nin,18,{'$aminche': 16}
niq,18,{'$toriit': 18}
niy,18,"{'$àrɛ̀$': 14, '$àrɛ̀-tɨ': 3}"
njb,18,"{'$wo$heh': 15, '$wunwo$': 2}"
njm,18,"{'$pera': 11, '$teirako': 7}"
njn,18,{'$thingna': 18}
njo,18,"{'$ozütem$': 12, 'sangnu$': 5}"
njz,18,"{'$pvta$tu': 8, '$pvtang': 8}"
nko,18,{'$mbubwi$': 18}
nlc,18,"{'wining$a': 12, 'ak$winin': 2, '$wining': 4}"
nld,135,"{'vogel': 80, 'vliegend': 50}"
nma,18,{'$ruinah': 17}
nmf,135,{'$vānao': 117}
nmo,18,{'$vaati$': 18}
nmw,4,{'iwowo$he': 3}
nmz,18,{'$ŋmɛn': 16}
nnb,18,{'esyonyon': 17}
nng,18,"{'waa$rap': 9, 'waal': 6, 'aacha$ra': 2}"
nnh,18,{'$meshʉ́ŋ': 18}
nno,135,{'fugl': 128}
nnp,18,"{'$osabu': 15, '$müi$n': 2}"
nnq,18,{'$ijuni$': 18}
nnw,18,"{'$zənbii$': 10, '$zə́ŋə́$': 4, '$zuŋi$': 4}"
noa,18,"{'em$hichp': 8, 'haain$bë': 4, ""$hãk'aag"": 2, '$nem$bãa': 2}"
nob,135,"{'fugl': 81, 'ygende$s': 49}"
nog,42,{'услар': 37}
nop,54,{'$bagi$': 49}
not,18,"{'tsimirip': 13, '$tiso': 4}"
nou,18,"{'o$ri$mem': 12, '$rime': 4}"
nph,18,"{'$shangou': 9, '$ouh': 5, '$outhü$': 3}"
npi,18,{'$चरा': 18}
npl,18,{'$totomeh': 17}
npo,18,"{'müwari': 14, '$amüwa$': 4}"
npy,18,{'$tadasi$': 18}
nsn,18,{'$teti': 18}
nso,135,{'nonyan': 133}
nss,26,"{'hu$noruk': 22, 'kan$n': 2}"
ntp,18,{'ujuurugi': 17}
ntr,18,{'$gyebuse': 16}
nus,18,{'$diit$': 16}
nuy,38,{'ngurudhu': 36}
nvm,18,{'$um$': 17}
nwb,18,{'$nɩkpɩ': 18}
nwi,17,"{'$man$mɨn': 13, '$man$y': 3}"
nya,135,"{'mbalame$': 85, 'ouluka$': 49}"
nyf,18,{'unyama$': 17}
nyn,18,"{'nyonyi$': 14, 'mahungu$': 3}"
nyo,18,{'nyonyi$': 17}
nyu,6,{'$mbalame': 6}
nyy,18,{'njunị$': 17}
obo,18,{'o$manuk$': 18}
oji,18,{'$benas': 17}
ojs,18,{'$ᐱᓀᔒ': 18}
okv,18,"{'$di$na$': 9, '$di$': 9}"
old,18,"{'lehe$': 13, 'a$ndehe$': 3}"
omw,18,"{'aamwavan': 10, '$nyaamwa': 7}"
ong,18,{'naflepem': 17}
ons,18,{'$naŋi$': 18}
ood,18,"{""$u'uwhig"": 16}"
opm,18,"{'$ner$i': 11, '$nero$': 4}"
ory,18,"{'ପକ୍ଷୀ': 15, 'ଚଢ଼େଇମାନ': 3}"
oss,135,"{'$мӕргът': 89, '$маргъ': 26}"
ote,18,"{""a$ts'int"": 17}"
otm,18,{'$yʉ$doja': 18}
otn,18,"{""nts'ʉ$"": 18}"
otq,18,"{'a$tsꞌint': 12, 'tho$ya$z': 5}"
ots,18,{'$ttzʉntz': 18}
ozm,18,"{'$binʉ̌n$': 15, '$bínʉ̌n$': 3}"
pab,18,{'$kotehal': 18}
pad,18,"{'raboki': 13, '$vitxaga': 3}"
pag,18,{'$manok$': 17}
pah,18,"{""$gwyra'i"": 11, ""ipepova'"": 7}"
pam,18,{'$ayup': 17}
pan,18,{'$ਪੰਛੀ': 18}
pao,18,"{'otseba': 13, '$oo$wue$': 2}"
pap,18,"{'ara$di$s': 6, '$e$paran': 4, '$i$para$': 2, 'di$para$': 2, 'ur$para$': 2}"
pbb,18,"{'$vichacu': 15, '$fyuus': 3}"
pbc,18,{'$tolon$y': 18}
pbi,18,"{'$ɗiya': 15, 'á$zləbi$': 2}"
pbl,18,{'$vasa': 18}
pcm,18,{'$bird': 18}
pdc,18,"{'$feyyel$': 11, 'di$fekke': 6}"
pdt,135,"{'$väajel$': 89, '$voagel$': 28}"
pes,18,{'$پرند': 18}
pib,18,"{'oshichin': 14, 'amejirun': 4}"
pio,17,"{'$cuìpìra': 9, '$màsibèe': 7}"
pir,18,"{'inicjʉa$': 15, '$yucaa$p': 2}"
pis,18,"{'keta$bir': 15, '$bird$': 3}"
pkb,18,"{'$nyuni$': 14, '$zigwa$n': 3}"
plg,18,"{""$maỹo'pi"": 11, ""$máỹo'$"": 6}"
pls,18,{'conttoa$': 18}
plt,48,"{'manidina': 27, '$vorona$': 19}"
plu,18,{'$kuhipr': 18}
plw,18,{'begit': 16}
pma,42,{'$aman$': 37}
pmf,18,{'$tonsi$': 16}
pne,18,{'$juhit$': 18}
poe,18,"{'$koxroxe': 11, 'xritjaká': 6}"
poh,135,"{'$kirupi': 55, ""$tz'ikin"": 37, ""$k'uch$"": 17, 'ik$kixii': 11}"
poi,18,{'m$jon': 17}
pol,135,"{'$pta': 81, '$latając': 49}"
pon,135,{'menpihr$': 124}
por,135,{'$ave': 121}
pot,6,"{""$pe'pams"": 5}"
poy,18,{'$wampong': 16}
ppk,18,{'danci$': 18}
ppo,18,"{'$barape': 15, '$ó$ba$': 2}"
prf,18,{'$ibun$': 16}
pri,17,"{'$pâ$marü': 12, '$ma$marü': 2}"
prk,18,{'$sim$': 18}
prs,18,{'$پرندگان': 18}
pse,18,{'$burung': 18}
ptp,18,{'$menac$': 18}
ptu,18,{'$dassi': 18}
pua,18,"{'$káratic': 9, '$kuíni': 8}"
pwg,18,{'$kiu': 18}
pww,18,{'$ทู$': 18}
qub,135,"{'$äbi': 92, '$pärej': 12, 'äriypa$p': 10, 'pichiusa': 8}"
quc,18,{'$tak$tzq': 18}
quf,18,{'$pariq$k': 18}
qug,18,{'$pajaroc': 17}
quh,135,"{""$p'isq"": 71, '$phawajk': 27, '$suwintu': 14, 'qhatatak': 4}"
qul,18,"{'pisketoc': 14, 'cuy$gall': 2}"
qup,18,"{'$pishkuk': 10, '$pawak': 5}"
quw,18,{'$pishcu': 18}
quy,135,"{'$pawaq': 80, '$urpitu': 20, 'raprayoq': 9, '$qesa': 4, 'ukuna$': 8}"
quz,135,"{'halaq$an': 90, '$pichi': 16, '$ankakun': 8, '$urpi': 9}"
qvc,18,{'$pishqok': 17}
qve,18,"{'$phawaq$': 11, 'chinkuku': 7}"
qvh,18,"{'$pishguc': 10, '$vuelag': 5, 'durcuna$': 2}"
qvi,18,{'$alasyu$': 18}
qvm,18,"{'$pishguc': 10, '$päreg': 5, 'durcuna$': 2}"
qvn,18,"{'$pishgoc': 13, '$pärig$u': 3}"
qvo,18,"{'$pishcuc': 14, '$ancac': 2}"
qvs,18,"{'$pishkil': 12, '$pawak$a': 6}"
qvw,18,"{'$pishucu': 14, '$pälï': 3}"
qvz,18,{'$pishcu': 17}
qwh,18,{'$pishquc': 15}
qxh,18,"{'ichuysac': 13, 'iucacuna': 3}"
qxn,18,{'$pishgoc': 16}
qxo,18,"{'$pishgu': 13, '$wiscur': 3}"
qxr,18,"{'$vola': 11, 'hutacuna': 5}"
rai,18,{'$kum$pik': 18}
rim,18,{'$nyonyi$': 17}
rkb,18,"{'$piyktsa': 10, 'sisaraka': 8}"
rmo,18,"{'$i$tchir': 13, 'chirkle$': 5}"
rmy,18,"{'hiriklia': 15, 'hiriklie': 2}"
ron,135,"{'$păsări': 89, '$pasăre': 23, '$zburăto': 21}"
roo,18,{'$kokio': 17}
rop,135,{'$bard$': 122}
rro,18,{'$roborob': 18}
ruf,18,{'fideghe$': 18}
run,135,"{'iguruka$': 67, 'nyoni$': 63}"
rus,135,"{'$пти': 106, '$летающ': 27}"
rwo,18,"{'$numbo$': 7, '$nu$': 11}"
sab,18,"{'$bdada$': 12, 'e$dba$kd': 4}"
sag,18,{'ndeke$': 18}
sah,30,"{'$көтөр': 23, '$чыычаах': 5}"
sas,18,{'$kedit': 18}
sba,135,"{'yelje': 97, '$gə́$yel': 5, '$yel$gə́': 11, '$gə$bag$': 5}"
sbd,18,"{'$bàanan$': 15, '$tɔɔ$màn': 2}"
sbe,8,{'$manuwa$': 8}
sbl,18,{'manokman': 16}
sda,18,{'$manuk-m': 18}
seh,6,{'$mbalame': 6}
sey,18,"{'$pi̱ꞌa': 13, 'ꞌjëcohua': 3}"
sgb,18,{'$manok': 18}
sgw,18,"{'$አንᎋም$': 7, 'ትሸቦ': 4, '፤$ኤዘሮ$': 2, '$አመራ$እንም': 2}"
sgz,18,{'$man$': 17}
shi,18,{'igḍaḍ$': 17}
shk,18,{'$winy': 18}
shp,42,"{'$noyai': 32, '$isáb': 6}"
shu,18,"{'l-tuyuur': 11, 'teer$': 7}"
sig,18,"{'$digibii': 15, 'gyaala$i': 3}"
sil,18,{'$diibiis': 17}
sim,18,"{'k$avi$': 8, '$avi$a': 3, 'ir$avi$o': 2, '$wako$': 2}"
sin,135,"{'$කුරුල': 71, '$පක්ෂී': 38, 'ාසර$කරන$': 18}"
sja,18,"{'$ipanaar': 14, '$bipa$': 4}"
